stock_symbol,timestamp,sentiment_score
AAPL,2022-10-01 00:00:00,2.7836857
AAPL,2022-10-02 00:00:00,2.5985217
AAPL,2022-10-03 00:00:00,2.8538387
AAPL,2022-10-04 00:00:00,3.3778903
AAPL,2022-10-05 00:00:00,2.8615007
AAPL,2022-10-06 00:00:00,2.3264992
AAPL,2022-10-07 00:00:00,2.64304
AAPL,2022-10-08 00:00:00,3.0570593
AAPL,2022-10-09 00:00:00,3.327474
AAPL,2022-10-10 00:00:00,2.7783735
AAPL,2022-10-11 00:00:00,2.0954032
AAPL,2022-10-12 00:00:00,3.5515528
AAPL,2022-10-13 00:00:00,2.7169766
AAPL,2022-10-14 00:00:00,2.7413683
AAPL,2022-10-15 00:00:00,2.8698595
AAPL,2022-10-16 00:00:00,2.9869924
AAPL,2022-10-17 00:00:00,3.6993885
AAPL,2022-10-18 00:00:00,2.412739
AAPL,2022-10-19 00:00:00,2.5719538
AAPL,2022-10-20 00:00:00,2.329393
AAPL,2022-10-21 00:00:00,2.5718403
AAPL,2022-10-22 00:00:00,3.954024
AAPL,2022-10-23 00:00:00,3.7662578
AAPL,2022-10-24 00:00:00,3.1737504
AAPL,2022-10-25 00:00:00,2.498361
AAPL,2022-10-26 00:00:00,2.1968155
AAPL,2022-10-27 00:00:00,2.4172506
AAPL,2022-10-28 00:00:00,3.0655723
AAPL,2022-10-29 00:00:00,2.8331254
AAPL,2022-10-30 00:00:00,1.3183762
AAPL,2022-10-31 00:00:00,2.1999252
AAPL,2022-11-01 00:00:00,2.1842725
AAPL,2022-11-02 00:00:00,3.037501
AAPL,2022-11-03 00:00:00,2.4698753
AAPL,2022-11-04 00:00:00,2.5933049
AAPL,2022-11-05 00:00:00,2.2868555
AAPL,2022-11-06 00:00:00,1.4731598
AAPL,2022-11-07 00:00:00,2.0136893
AAPL,2022-11-08 00:00:00,3.0858846
AAPL,2022-11-09 00:00:00,2.1025877
AAPL,2022-11-10 00:00:00,2.9788167
AAPL,2022-11-11 00:00:00,3.2738245
AAPL,2022-11-12 00:00:00,1.4208386
AAPL,2022-11-13 00:00:00,2.8804204
AAPL,2022-11-14 00:00:00,2.566492
AAPL,2022-11-15 00:00:00,2.761913
AAPL,2022-11-16 00:00:00,3.5535011
AAPL,2022-11-17 00:00:00,3.1702502
AAPL,2022-11-18 00:00:00,3.170858
AAPL,2022-11-19 00:00:00,1.8449928
AAPL,2022-11-20 00:00:00,2.8863487
AAPL,2022-11-21 00:00:00,2.7167127
AAPL,2022-11-22 00:00:00,2.5487795
AAPL,2022-11-23 00:00:00,2.4432023
AAPL,2022-11-24 00:00:00,2.534385
AAPL,2022-11-25 00:00:00,2.8322349
AAPL,2022-11-26 00:00:00,3.7304251
AAPL,2022-11-28 00:00:00,1.5084953
